density of cars,density of busses,flow rate,
0.843685969,0.072722822,0.157096,0.989131614
,,,0
0.095285693,0.09018718,0.590404,0.275660052
,,,0
0.998094745,0.000822194,0.128172,0.999739134
,,,0
0.947568771,0.009045328,0.140256,0.965659426
,,,0
0.436590501,0.124516568,0.347712,0.685623637
,,,0
0.219057721,0.253245559,0.407448,0.72554884
,,,0
0.457511977,0.022925174,0.369764,0.503362326
,,,0
0.747846121,0.023293351,0.224488,0.794432822
,,,0
0.583070545,0.122700474,0.275316,0.828471492
,,,0
0.739864647,0.073426945,0.208836,0.886718537
,,,0
0.305294772,0.119571504,0.39856,0.54443778
,,,0
0.258895201,0.335388827,0.320232,0.929672854
,,,0
0.733075936,0.095058188,0.192188,0.923192312
,,,0
0.51403421,0.196175803,0.274236,0.906385816
,,,0
0.535670642,0.21047255,0.230996,0.956615741
,,,0
0.907672532,0.033565154,0.151004,0.97480284
,,,0
0.042861434,0.206428909,0.548228,0.455719253
,,,0
0.996349297,0.001806638,0.134548,0.999962574
,,,0
0.667626386,0.074327662,0.257812,0.816281711
,,,0
0.649651799,0.070135679,0.263368,0.789923157
,,,0
0.248593644,0.290107845,0.36288,0.828809334
,,,0
0.794962571,0.07637801,0.183848,0.947718591
,,,0
0.174149849,0.388787697,0.352824,0.951725244
,,,0
0.744922804,0.051971553,0.208128,0.84886591
,,,0
0.753202036,0.013818022,0.236836,0.780838079
,,,0
0.699796839,0.079377844,0.221064,0.858552528
,,,0
0.339385454,0.283100037,0.320924,0.905585528
,,,0
0.921481491,0.025514797,0.158296,0.972511086
,,,0
0.482288454,0.191561634,0.27766,0.865411722
,,,0
0.128219347,0.302933097,0.458544,0.734085542
,,,0
0.691267981,0.107630442,0.233476,0.906528864
,,,0
0.003593757,0.024356259,0.487676,0.052306275
,,,0
0.594399292,0.134477287,0.244112,0.863353866
,,,0
0.747848848,0.102676609,0.19136,0.953202065
,,,0
0.165554512,0.177549004,0.5165,0.52065252
,,,0
0.315611946,0.222641809,0.355372,0.760895563
,,,0
0.793650122,0.003545316,0.215296,0.800740754
,,,0
0.304709462,0.031626406,0.458868,0.367962274
,,,0
0.117686168,0.395962977,0.42476,0.909612122
,,,0
0.279158929,0.12751906,0.436772,0.534197049
,,,0
0.011400154,0.159412606,0.628416,0.330225367
,,,0
0.773624129,0.044167156,0.212232,0.861958441
,,,0
0.60593881,0.179729983,0.23246,0.965398775
,,,0
0.963109374,0.015769091,0.141468,0.994647555
,,,0
0.962454184,0.000105113,0.15094,0.962664411
,,,0
0.60816687,0.037857596,0.283916,0.683882063
,,,0
0.256572147,0.261114446,0.405364,0.778801039
,,,0
0.701935498,0.057880754,0.247084,0.817697007
,,,0
0.509127094,0.107367347,0.313304,0.723861788
,,,0
0.445870174,0.221692375,0.302324,0.889254923
,,,0
0.428573318,0.24678319,0.2718,0.922139699
,,,0
0.796106486,0.063977503,0.20016,0.924061492
,,,0
0.470348919,0.219780136,0.253624,0.90990919
,,,0
0.072330359,0.125510913,0.588868,0.323352185
,,,0
0.193455734,0.041470481,0.571196,0.276396695
,,,0
0.795723754,0.0614433,0.18278,0.918610355
,,,0
0.566496187,0.069538274,0.297732,0.705572735
,,,0
0.209979419,0.247849793,0.445092,0.705679005
,,,0
0.698960802,0.002580673,0.268556,0.704122149
,,,0
0.965520559,0.014162405,0.127532,0.993845369
,,,0
0.136707842,0.422385845,0.385896,0.981479531
,,,0
0.093052274,0.101012991,0.585956,0.295078256
,,,0
0.89042449,0.043718463,0.147836,0.977861416
,,,0
0.468571188,0.196617147,0.278672,0.861805482
,,,0
0.639717481,0.023757551,0.283592,0.687232584
,,,0
0.166939741,0.342486965,0.363948,0.851913671
,,,0
0.658364863,0.169685252,0.178416,0.997735367
,,,0
0.275755998,0.008119718,0.50788,0.291995433
,,,0
0.015771687,0.259849349,0.588848,0.535470386
