density,flow rate
0.431999922,0.286578333
0.143210115,0.3195075
0.11668785,0.302128333
0.319916549,0.325165833
0.487669159,0.2648
0.460428452,0.275768333
0.217867691,0.338445
0.538878305,0.2413675
0.512184042,0.252105833
0.508411217,0.25547
0.86325337,0.0807975
0.482697637,0.2657875
0.346452204,0.3160325
0.259921519,0.338806667
0.927685163,0.044295833
0.04788506,0.202129167
0.12718655,0.3102125
0.233158472,0.339036667
0.716597918,0.157581667
0.893408748,0.063423333
0.879130702,0.071474167
0.583261406,0.221926667
0.982309923,0.010725
0.577430352,0.2230875
0.879034893,0.0715275
0.254091908,0.335739167
0.155251561,0.326168333
0.306235111,0.328670833
0.402983134,0.2974275
0.535033172,0.243329167
0.927856534,0.043951667
0.980847466,0.012016667
0.369165599,0.310381667
0.9894088,0.0072
0.3805499,0.306038333
0.477953826,0.268251667
0.057507241,0.226604167
0.168164043,0.331204167
0.575878302,0.226394167
0.646938284,0.191516667
0.073054953,0.258059167
0.481117828,0.2659525
0.485380378,0.265923333
0.499579611,0.258745833
0.024094695,0.109663333
0.888243967,0.065743333
0.126373843,0.316035833
0.191061536,0.334655833
0.04868459,0.206575833
0.79800668,0.115501667
0.439189733,0.28465
0.503127505,0.25471
0.881098136,0.070343333
0.732574303,0.1485575
0.201508885,0.338975833
0.602244795,0.212844167
0.744564964,0.142885
0.527841402,0.246509167
0.511503907,0.252780833
0.237614899,0.339184167
0.50617772,0.255054167
0.834949877,0.095780833
0.05220268,0.217449167
0.842807327,0.091741667
0.105036401,0.294038333
0.111699663,0.301915833
0.620611482,0.204005
0.814258615,0.106895833
0.616981174,0.205389167
0.071882818,0.250595
0.563242957,0.230175833
0.58821703,0.218386667
0.207052154,0.337638333
0.101661973,0.289144167
0.753173799,0.139175833
0.532024381,0.24412
0.790516588,0.120226667
0.685987418,0.1731775
0.374472136,0.307564167
0.123507501,0.313764167
0.219078104,0.3403175
0.883547453,0.068851667
0.713229967,0.1591025
0.232754228,0.334923333
0.181826711,0.336239167
0.867341479,0.078271667
0.759586436,0.1362375
0.297198584,0.331026667
0.395343301,0.300509167
0.935100931,0.039458333
0.144912789,0.327875833
0.335197945,0.319040833
0.45914536,0.276819167
0.500421749,0.258736667
0.700710957,0.164823333
0.047253803,0.200758333
0.409090071,0.296375
0.048526429,0.2076425
0.762025291,0.1344175
0.766328807,0.131895833
0.10872853,0.296295833
0.415517113,0.293000833
0.434634088,0.285616667
0.422733745,0.291029167
0.529907006,0.245410833
0.354967055,0.3139
0.109149916,0.3007475
0.206374014,0.339069167
0.400322704,0.2985175
0.63272515,0.197973333
0.010951324,0.045735
0.270097674,0.33315
0.666787886,0.1814625
0.413051929,0.2950625
0.574604959,0.2256325
0.570302007,0.226965
0.301062562,0.327581667
0.565267588,0.230215
0.741438322,0.14556
0.631325162,0.199190833
0.0243902,0.1094825
0.948337832,0.0311525
0.194070294,0.33786
0.210283422,0.33931
0.13236575,0.318400833
0.306276735,0.329916667
0.936707374,0.038091667
0.879895078,0.071614167
0.114626205,0.302124167
0.55759362,0.233705
0.265194852,0.336621667
0.901938279,0.0590175
0.478244597,0.267063333
0.137355143,0.321885
0.459299779,0.2767975
0.042629234,0.186270833
0.528518719,0.246870833
0.963572471,0.022789167
0.662885063,0.183373333
0.090459202,0.279933333
0.084563531,0.270471667
0.338561257,0.319009167
0.76414559,0.133421667
0.093790456,0.28156
0.968777328,0.019170833
0.151093561,0.3281
0.987179361,0.008434167
0.993743216,0.004800833
0.268474189,0.3354425
0.434092969,0.284504167
0.743926736,0.144565833
0.218154928,0.340403333
0.699596397,0.165844167
0.457968831,0.276996667
0.188771695,0.341853333
0.69134297,0.169933333
0.449077099,0.278565833
0.331481774,0.321456667
0.413386427,0.293338333
0.504776816,0.258118333
0.464968593,0.273215
0.135805745,0.32013
0.569327605,0.228394167
0.079206803,0.266280833
0.74002633,0.146208333
0.721426736,0.1563075
0.611528626,0.208698333
0.46714188,0.272165
0.060872949,0.234653333
0.239265678,0.33567
0.605778534,0.211126667
0.635215745,0.1961475
0.856621658,0.0841025
0.988364906,0.0072575
0.787524606,0.1218325
0.035418637,0.15397
0.459026292,0.275548333
